Time,Fp1,Fp2,F3,F4,T3,T4,Cz
0.0,5.17842651331102,3.786799933080883,-0.49796625829160635,4.243194194790193,5.345858155738286,-3.670545643633869,10.686551871902301
0.001,-6.379792443289995,8.153568034706595,1.5134564326449123,6.94816671038428,0.5646550594208981,17.74824354649283,3.318346112699089
0.002,9.217647709827279,8.607904471789508,2.224755457503327,15.585467935834583,5.671043280032998,16.711206942971888,-0.0808905618145137
0.003,9.143870628444454,13.86172294897016,-0.2775726567962442,11.985189569443742,2.3222773311426925,15.627771319386794,13.936296866323678
0.004,18.147741772155193,20.908473694112672,10.809352910971404,17.260031746829625,8.71062991952277,23.297654887945832,8.558350801179277
0.005,13.413391276665516,16.37392795476113,18.095777211241597,18.79708741369755,6.679942018577636,36.279023077015694,4.641321267959258
0.006,18.946217683282928,19.64396876035645,24.311625565171127,28.08622199696506,3.931093849612026,29.93150745846897,4.067175653670736
0.007,14.801606449122904,26.574043317065097,16.16266169584767,26.699971573841104,17.709026340522755,41.84386022919382,4.000647393088593
0.008,22.102012852673965,23.626156697255404,24.655021885833737,25.564643566332293,22.514796545005133,43.67525447656774,14.35348271791154
0.009,25.424979030131905,30.42675326481407,21.606638565641724,40.79059252801015,19.596414046376424,43.14234178534519,11.479650661801065
0.01,34.9717960974787,34.03722413898516,29.307523210823085,50.12475420265128,8.651234282256075,52.83947817279429,14.543004327252604
0.011,35.679796987303796,32.974764568401554,21.666390696453103,43.28707323139151,18.27226460648325,42.719781731775385,17.4495607636608
0.012,32.59936168514058,43.26429789138226,27.424688560972545,45.467428693685214,20.440309143534495,54.49929814793862,21.11880969337321
0.013,41.06191189991789,47.67185274555536,37.05669699990157,49.52014175679922,23.971686963856683,53.1261536748727,16.5413023987407
0.014,41.67003759073043,43.23151442466376,27.36428906502832,53.790252745716145,26.144557429696434,53.36344800302014,30.576351288692983
0.015,46.60655298410385,39.48059271809992,38.16535319931443,54.85752206291798,24.06706588187529,49.35763624786012,19.663393964783435
0.016,32.47934731962914,45.001115275364974,40.29664684397262,52.57848815373528,25.15326665858394,45.4792704212447,35.04974019384371
0.017,37.413581618528134,53.47639113953827,41.90128955641459,46.21197033885798,35.26258011719656,32.10015303725221,22.03421953544149
0.018,51.15264388173699,52.36501483691851,37.43700896793264,49.33208622563431,35.61629954784557,40.83431636100582,19.80328310974526
0.019,54.498938149205095,48.79248703670933,32.64214325323408,42.377808838720206,32.40604470626405,36.0223053046947,31.57968726975004
0.02,47.3667509683043,48.710491385759994,32.31325331965539,42.98147922135002,25.29400549639996,38.71775494026194,29.397370860548847
0.021,44.07350456053124,46.83521106815916,49.187245837476624,40.30698681821023,31.20005411793814,29.031583405443946,37.70509160684831
0.022,36.558130670240274,56.90833081560594,34.99379546822143,41.44849326687165,38.296408557673765,16.130764305931894,28.975350985615272
0.023,49.55544315447997,44.059981435300614,43.94234439088419,37.70095117223684,30.93026000527422,19.531378458735,44.932184701913116
0.024,53.800792523602084,49.04871139386335,34.649362406973616,41.7694053988221,44.717109132653476,4.835404455456502,41.94573026210971
0.025,50.538402100681886,45.617596829975106,50.496718230771776,35.54186669526241,32.696562180745346,2.7836192917441256,33.026334459325746
0.026,49.32360943298238,41.06561863087502,52.587973932833485,40.49621839187368,40.03758795085938,-6.2929278884039475,36.793499353402964
0.027,47.11192687462543,45.820376565649866,45.22409648403206,29.91401186594265,39.603412267828425,-6.758653593984775,34.19999892963327
0.028,47.41899249487325,37.77759821015428,49.599435089740595,24.244635473723154,39.78261493380377,-14.746848953567174,38.18853467205503
0.029,50.60841858432315,46.901877926801795,50.39193337287142,22.245527662082946,41.953149173279314,-21.55965243656877,43.395190526664734
0.03,40.09632180056729,32.85023738551517,53.24882572957755,14.339102321994586,47.28466855147021,-44.47813225880801,45.57890303305541
0.031,43.788760883419826,39.987978915980605,63.14652240026478,17.47339826407122,48.255518700715605,-31.914312635789756,44.345567935438815
0.032,40.2078703430134,35.27707117247727,49.036009528143325,0.41114112733619024,46.51541911139378,-42.069563446680846,37.90227107901836
0.033,46.99158355239339,29.689399923839794,49.9665247258546,-5.404555657563167,43.40760523463887,-40.24409630071486,49.01672582761663
0.034,43.86926708263633,35.80540254703404,39.15643025237836,-8.117072440572889,57.59506410546682,-39.742843951086954,38.79778953270878
